Model,Accuracy,Precision,Recall,F1 Score
ANN,0.805,0.8043370826765738,0.805,0.8045143305808953
SVM,0.785,0.7850993611382295,0.785,0.7843405771758869
KNN,0.779,0.7783020192577031,0.779,0.7779027974856236
