Model,Accuracy,Precision,Recall,F1 Score
ANN,0.811,0.8090870623415092,0.811,0.8093967251499107
SVM,0.797,0.7964901502147608,0.797,0.7960076270994997
KNN,0.792,0.7911961605512947,0.792,0.7912158856586818
